Job Title,Company,Industry,Location,Experience Required,Skills Required,Job Link
Cybersecurity Analyst Returnship,Netflix,Product Management,"Seattle, USA",5+ years,"React, HTML, CSS, JavaScript",https://careers.amazon.com/backend-developer-returnship
Product Manager Returnship,Salesforce,Product Management,"New York, USA",2+ years,"AWS, Docker, Kubernetes",https://careers.salesforce.com/ux-designer-returnship
UX Designer Returnship,Tesla,DevOps,"Boston, USA",1+ years,"TensorFlow, PyTorch, Deep Learning",https://careers.tesla.com/ux-designer-returnship
AI/ML Engineer Returnship,Tesla,Cybersecurity,"Austin, USA",2+ years,"Python, Java, C++",https://careers.amazon.com/product-manager-returnship
Software Engineer Returnship,Amazon,Product Management,"New York, USA",1+ years,"Product Strategy, Agile, UX Research",https://careers.uber.com/backend-developer-returnship
Cloud Engineer Returnship,Salesforce,Cloud Computing,"New York, USA",2+ years,"Product Strategy, Agile, UX Research",https://careers.uber.com/product-manager-returnship
Backend Developer Returnship,Google,Product Management,"Chicago, USA",1+ years,"CI/CD, Kubernetes, Jenkins",https://careers.tesla.com/frontend-developer-returnship
Frontend Developer Returnship,Amazon,AI/ML,"San Diego, USA",5+ years,"TensorFlow, PyTorch, Deep Learning",https://careers.ibm.com/cloud-engineer-returnship
AI/ML Engineer Returnship,Uber,Design,"Boston, USA",5+ years,"CI/CD, Kubernetes, Jenkins",https://careers.tesla.com/ux-designer-returnship
Cloud Engineer Returnship,Airbnb,Cloud Computing,"San Diego, USA",5+ years,"Product Strategy, Agile, UX Research",https://careers.google.com/ux-designer-returnship
Cybersecurity Analyst Returnship,Netflix,Software Development,"Chicago, USA",2+ years,"Network Security, SIEM, Python",https://careers.salesforce.com/cybersecurity-analyst-returnship
Frontend Developer Returnship,Microsoft,Design,"Chicago, USA",5+ years,"Figma, Adobe XD, UX Research",https://careers.uber.com/ai/ml-engineer-returnship
Data Analyst Returnship,Salesforce,AI/ML,"Chicago, USA",3+ years,"AWS, Docker, Kubernetes",https://careers.tesla.com/devops-engineer-returnship
Data Analyst Returnship,Microsoft,Cybersecurity,"Seattle, USA",1+ years,"CI/CD, Kubernetes, Jenkins",https://careers.airbnb.com/frontend-developer-returnship
Backend Developer Returnship,Uber,Cloud Computing,"San Diego, USA",2+ years,"React, HTML, CSS, JavaScript",https://careers.google.com/software-engineer-returnship
Data Analyst Returnship,Salesforce,Tech,"San Diego, USA",5+ years,"React, HTML, CSS, JavaScript",https://careers.airbnb.com/product-manager-returnship
Frontend Developer Returnship,Google,Software Development,"Toronto, Canada",5+ years,"Product Strategy, Agile, UX Research",https://careers.netflix.com/data-analyst-returnship
Frontend Developer Returnship,Amazon,DevOps,"San Francisco, USA",1+ years,"TensorFlow, PyTorch, Deep Learning",https://careers.airbnb.com/product-manager-returnship
UX Designer Returnship,Tesla,DevOps,"Boston, USA",5+ years,"Figma, Adobe XD, UX Research",https://careers.microsoft.com/cloud-engineer-returnship
AI/ML Engineer Returnship,Amazon,AI/ML,"Seattle, USA",5+ years,"CI/CD, Kubernetes, Jenkins",https://careers.uber.com/ai/ml-engineer-returnship
Software Engineer Returnship,Microsoft,Cybersecurity,"Boston, USA",1+ years,"AWS, Docker, Kubernetes",https://careers.salesforce.com/devops-engineer-returnship
Product Manager Returnship,Salesforce,Product Management,"Seattle, USA",1+ years,"SQL, Excel, Tableau",https://careers.microsoft.com/devops-engineer-returnship
DevOps Engineer Returnship,Meta,Product Management,"San Diego, USA",3+ years,"CI/CD, Kubernetes, Jenkins",https://careers.airbnb.com/data-analyst-returnship
Data Analyst Returnship,Netflix,AI/ML,"Austin, USA",3+ years,"AWS, Docker, Kubernetes",https://careers.ibm.com/product-manager-returnship
Backend Developer Returnship,Airbnb,Cybersecurity,"San Francisco, USA",1+ years,"Product Strategy, Agile, UX Research",https://careers.microsoft.com/devops-engineer-returnship
Data Analyst Returnship,Tesla,Design,"San Diego, USA",2+ years,"TensorFlow, PyTorch, Deep Learning",https://careers.airbnb.com/ai/ml-engineer-returnship
DevOps Engineer Returnship,Microsoft,Design,"Los Angeles, USA",3+ years,"TensorFlow, PyTorch, Deep Learning",https://careers.airbnb.com/software-engineer-returnship
AI/ML Engineer Returnship,Netflix,Design,"Chicago, USA",1+ years,"CI/CD, Kubernetes, Jenkins",https://careers.netflix.com/devops-engineer-returnship
UX Designer Returnship,Uber,Software Development,"Toronto, Canada",5+ years,"React, HTML, CSS, JavaScript",https://careers.google.com/product-manager-returnship
Frontend Developer Returnship,Tesla,Design,"Seattle, USA",2+ years,"Product Strategy, Agile, UX Research",https://careers.salesforce.com/devops-engineer-returnship
UX Designer Returnship,Netflix,Tech,"Boston, USA",5+ years,"Python, Java, C++",https://careers.salesforce.com/ux-designer-returnship
Cybersecurity Analyst Returnship,Salesforce,Cloud Computing,"Chicago, USA",3+ years,"CI/CD, Kubernetes, Jenkins",https://careers.netflix.com/backend-developer-returnship
Data Analyst Returnship,Uber,DevOps,"Austin, USA",5+ years,"Java, Spring Boot, PostgreSQL",https://careers.netflix.com/ai/ml-engineer-returnship
Software Engineer Returnship,Google,Design,"New York, USA",2+ years,"AWS, Docker, Kubernetes",https://careers.meta.com/cloud-engineer-returnship
Cybersecurity Analyst Returnship,Airbnb,AI/ML,"Austin, USA",1+ years,"Python, Java, C++",https://careers.google.com/ux-designer-returnship
AI/ML Engineer Returnship,Microsoft,AI/ML,"Seattle, USA",1+ years,"Figma, Adobe XD, UX Research",https://careers.meta.com/ux-designer-returnship
Data Analyst Returnship,IBM,Product Management,"Chicago, USA",2+ years,"React, HTML, CSS, JavaScript",https://careers.meta.com/software-engineer-returnship
Cybersecurity Analyst Returnship,Meta,Tech,"Seattle, USA",5+ years,"Figma, Adobe XD, UX Research",https://careers.salesforce.com/ux-designer-returnship
Data Analyst Returnship,IBM,Tech,Remote,5+ years,"Network Security, SIEM, Python",https://careers.amazon.com/ux-designer-returnship
Backend Developer Returnship,Microsoft,Software Development,"Toronto, Canada",2+ years,"React, HTML, CSS, JavaScript",https://careers.google.com/ai/ml-engineer-returnship
AI/ML Engineer Returnship,Tesla,Design,"Toronto, Canada",1+ years,"SQL, Excel, Tableau",https://careers.airbnb.com/software-engineer-returnship
Product Manager Returnship,Microsoft,Design,"New York, USA",5+ years,"CI/CD, Kubernetes, Jenkins",https://careers.meta.com/product-manager-returnship
Frontend Developer Returnship,Microsoft,Software Development,"Boston, USA",3+ years,"Java, Spring Boot, PostgreSQL",https://careers.microsoft.com/cloud-engineer-returnship
Cloud Engineer Returnship,Salesforce,Tech,"San Francisco, USA",2+ years,"Network Security, SIEM, Python",https://careers.uber.com/data-analyst-returnship
Frontend Developer Returnship,Amazon,Cloud Computing,"Seattle, USA",3+ years,"CI/CD, Kubernetes, Jenkins",https://careers.meta.com/ai/ml-engineer-returnship
Frontend Developer Returnship,Meta,DevOps,"New York, USA",3+ years,"Product Strategy, Agile, UX Research",https://careers.amazon.com/ux-designer-returnship
Cybersecurity Analyst Returnship,Google,Cybersecurity,"San Francisco, USA",1+ years,"CI/CD, Kubernetes, Jenkins",https://careers.meta.com/ai/ml-engineer-returnship
AI/ML Engineer Returnship,Google,Software Development,"New York, USA",2+ years,"AWS, Docker, Kubernetes",https://careers.meta.com/software-engineer-returnship
Data Analyst Returnship,Netflix,Product Management,"San Francisco, USA",5+ years,"Figma, Adobe XD, UX Research",https://careers.microsoft.com/ux-designer-returnship
UX Designer Returnship,Google,DevOps,Remote,5+ years,"TensorFlow, PyTorch, Deep Learning",https://careers.amazon.com/ux-designer-returnship
Cloud Engineer Returnship,Meta,Product Management,"Los Angeles, USA",2+ years,"React, HTML, CSS, JavaScript",https://careers.amazon.com/product-manager-returnship
DevOps Engineer Returnship,Netflix,Tech,"San Diego, USA",1+ years,"Java, Spring Boot, PostgreSQL",https://careers.netflix.com/cloud-engineer-returnship
Cybersecurity Analyst Returnship,Netflix,DevOps,"San Diego, USA",5+ years,"React, HTML, CSS, JavaScript",https://careers.meta.com/cybersecurity-analyst-returnship
Cloud Engineer Returnship,Tesla,Tech,"Boston, USA",5+ years,"SQL, Excel, Tableau",https://careers.salesforce.com/cloud-engineer-returnship
Product Manager Returnship,Amazon,AI/ML,"San Francisco, USA",5+ years,"SQL, Excel, Tableau",https://careers.uber.com/software-engineer-returnship
Backend Developer Returnship,IBM,Product Management,"Los Angeles, USA",1+ years,"CI/CD, Kubernetes, Jenkins",https://careers.netflix.com/data-analyst-returnship
AI/ML Engineer Returnship,Uber,Software Development,"San Francisco, USA",5+ years,"SQL, Excel, Tableau",https://careers.amazon.com/ux-designer-returnship
DevOps Engineer Returnship,Tesla,Cloud Computing,"Boston, USA",5+ years,"Python, Java, C++",https://careers.amazon.com/product-manager-returnship
Cybersecurity Analyst Returnship,Airbnb,DevOps,"Seattle, USA",3+ years,"AWS, Docker, Kubernetes",https://careers.tesla.com/backend-developer-returnship
Frontend Developer Returnship,Amazon,Design,"New York, USA",1+ years,"AWS, Docker, Kubernetes",https://careers.ibm.com/product-manager-returnship
Software Engineer Returnship,Amazon,Software Development,"Los Angeles, USA",5+ years,"Python, Java, C++",https://careers.amazon.com/cybersecurity-analyst-returnship
Cybersecurity Analyst Returnship,Amazon,Cloud Computing,"Chicago, USA",1+ years,"Network Security, SIEM, Python",https://careers.airbnb.com/frontend-developer-returnship
Software Engineer Returnship,Microsoft,Cybersecurity,"Boston, USA",1+ years,"SQL, Excel, Tableau",https://careers.google.com/ai/ml-engineer-returnship
Frontend Developer Returnship,Airbnb,Cloud Computing,"San Diego, USA",5+ years,"Product Strategy, Agile, UX Research",https://careers.microsoft.com/software-engineer-returnship
Backend Developer Returnship,Tesla,DevOps,"Seattle, USA",5+ years,"Network Security, SIEM, Python",https://careers.amazon.com/product-manager-returnship
AI/ML Engineer Returnship,Airbnb,Product Management,"Boston, USA",1+ years,"SQL, Excel, Tableau",https://careers.tesla.com/product-manager-returnship
Data Analyst Returnship,IBM,Product Management,"Toronto, Canada",1+ years,"Python, Java, C++",https://careers.meta.com/product-manager-returnship
Cybersecurity Analyst Returnship,Salesforce,Product Management,"Seattle, USA",1+ years,"Figma, Adobe XD, UX Research",https://careers.uber.com/cybersecurity-analyst-returnship
UX Designer Returnship,Airbnb,Cybersecurity,Remote,3+ years,"Java, Spring Boot, PostgreSQL",https://careers.tesla.com/backend-developer-returnship
Frontend Developer Returnship,Amazon,AI/ML,Remote,2+ years,"Product Strategy, Agile, UX Research",https://careers.salesforce.com/ai/ml-engineer-returnship
Cybersecurity Analyst Returnship,IBM,DevOps,"San Diego, USA",5+ years,"CI/CD, Kubernetes, Jenkins",https://careers.amazon.com/devops-engineer-returnship
Product Manager Returnship,Salesforce,Tech,"Los Angeles, USA",3+ years,"Figma, Adobe XD, UX Research",https://careers.tesla.com/software-engineer-returnship
Backend Developer Returnship,Meta,Tech,"New York, USA",3+ years,"Figma, Adobe XD, UX Research",https://careers.meta.com/product-manager-returnship
Product Manager Returnship,Salesforce,Tech,Remote,1+ years,"TensorFlow, PyTorch, Deep Learning",https://careers.tesla.com/frontend-developer-returnship
Cloud Engineer Returnship,Meta,Cybersecurity,"Toronto, Canada",2+ years,"Python, Java, C++",https://careers.uber.com/software-engineer-returnship
AI/ML Engineer Returnship,Google,Product Management,"San Francisco, USA",5+ years,"React, HTML, CSS, JavaScript",https://careers.microsoft.com/devops-engineer-returnship
Cloud Engineer Returnship,Salesforce,Design,"Los Angeles, USA",3+ years,"Network Security, SIEM, Python",https://careers.netflix.com/backend-developer-returnship
Cybersecurity Analyst Returnship,Meta,Design,"San Francisco, USA",5+ years,"Figma, Adobe XD, UX Research",https://careers.airbnb.com/ai/ml-engineer-returnship
DevOps Engineer Returnship,Uber,Cybersecurity,"Boston, USA",3+ years,"SQL, Excel, Tableau",https://careers.netflix.com/ai/ml-engineer-returnship
DevOps Engineer Returnship,Amazon,Cybersecurity,"Seattle, USA",5+ years,"Python, Java, C++",https://careers.meta.com/data-analyst-returnship
AI/ML Engineer Returnship,Microsoft,Product Management,"Toronto, Canada",1+ years,"Network Security, SIEM, Python",https://careers.meta.com/ux-designer-returnship
UX Designer Returnship,Salesforce,Product Management,"Seattle, USA",1+ years,"Product Strategy, Agile, UX Research",https://careers.tesla.com/product-manager-returnship
Backend Developer Returnship,Netflix,Cybersecurity,"Austin, USA",2+ years,"SQL, Excel, Tableau",https://careers.ibm.com/ux-designer-returnship
UX Designer Returnship,Airbnb,DevOps,"San Diego, USA",1+ years,"Product Strategy, Agile, UX Research",https://careers.ibm.com/devops-engineer-returnship
Backend Developer Returnship,Meta,Software Development,"New York, USA",3+ years,"Python, Java, C++",https://careers.netflix.com/cloud-engineer-returnship
Frontend Developer Returnship,Tesla,Product Management,"New York, USA",3+ years,"React, HTML, CSS, JavaScript",https://careers.netflix.com/devops-engineer-returnship
Cybersecurity Analyst Returnship,Meta,Design,"New York, USA",3+ years,"CI/CD, Kubernetes, Jenkins",https://careers.google.com/software-engineer-returnship
Cloud Engineer Returnship,Salesforce,Software Development,"Austin, USA",3+ years,"Java, Spring Boot, PostgreSQL",https://careers.microsoft.com/software-engineer-returnship
DevOps Engineer Returnship,Meta,Design,"New York, USA",1+ years,"React, HTML, CSS, JavaScript",https://careers.tesla.com/data-analyst-returnship
Product Manager Returnship,IBM,Tech,Remote,1+ years,"Python, Java, C++",https://careers.uber.com/data-analyst-returnship
Data Analyst Returnship,Tesla,Product Management,"Los Angeles, USA",2+ years,"Figma, Adobe XD, UX Research",https://careers.salesforce.com/frontend-developer-returnship
Software Engineer Returnship,Salesforce,Product Management,"Chicago, USA",5+ years,"TensorFlow, PyTorch, Deep Learning",https://careers.ibm.com/ai/ml-engineer-returnship
Data Analyst Returnship,Microsoft,Cloud Computing,"San Francisco, USA",2+ years,"CI/CD, Kubernetes, Jenkins",https://careers.meta.com/cybersecurity-analyst-returnship
Cloud Engineer Returnship,IBM,DevOps,"San Francisco, USA",5+ years,"Python, Java, C++",https://careers.google.com/software-engineer-returnship
Cloud Engineer Returnship,Tesla,Software Development,"New York, USA",1+ years,"SQL, Excel, Tableau",https://careers.airbnb.com/data-analyst-returnship
Backend Developer Returnship,Airbnb,Tech,"San Diego, USA",3+ years,"TensorFlow, PyTorch, Deep Learning",https://careers.google.com/ux-designer-returnship
UX Designer Returnship,Netflix,Design,"Chicago, USA",2+ years,"SQL, Excel, Tableau",https://careers.ibm.com/ux-designer-returnship
Data Analyst Returnship,Airbnb,Software Development,"Austin, USA",2+ years,"Network Security, SIEM, Python",https://careers.microsoft.com/data-analyst-returnship
Backend Developer Returnship,Meta,AI/ML,"Los Angeles, USA",1+ years,"CI/CD, Kubernetes, Jenkins",https://careers.microsoft.com/ux-designer-returnship
Backend Developer Returnship,Meta,Tech,"Austin, USA",5+ years,"SQL, Excel, Tableau",https://careers.amazon.com/backend-developer-returnship
UX Designer Returnship,Google,Design,"Chicago, USA",2+ years,"SQL, Excel, Tableau",https://careers.airbnb.com/cloud-engineer-returnship
Product Manager Returnship,Tesla,Cybersecurity,"Los Angeles, USA",5+ years,"Network Security, SIEM, Python",https://careers.microsoft.com/cloud-engineer-returnship
DevOps Engineer Returnship,Meta,DevOps,"Boston, USA",2+ years,"CI/CD, Kubernetes, Jenkins",https://careers.meta.com/ai/ml-engineer-returnship
AI/ML Engineer Returnship,Google,Cybersecurity,"Seattle, USA",3+ years,"Java, Spring Boot, PostgreSQL",https://careers.salesforce.com/data-analyst-returnship
DevOps Engineer Returnship,Airbnb,AI/ML,"Toronto, Canada",1+ years,"Network Security, SIEM, Python",https://careers.salesforce.com/ai/ml-engineer-returnship
Software Engineer Returnship,Google,Tech,"Los Angeles, USA",5+ years,"Network Security, SIEM, Python",https://careers.tesla.com/frontend-developer-returnship
Data Analyst Returnship,Airbnb,Cloud Computing,"Seattle, USA",1+ years,"CI/CD, Kubernetes, Jenkins",https://careers.meta.com/cloud-engineer-returnship
DevOps Engineer Returnship,Salesforce,AI/ML,"San Diego, USA",1+ years,"Network Security, SIEM, Python",https://careers.microsoft.com/ai/ml-engineer-returnship
AI/ML Engineer Returnship,Meta,Tech,"New York, USA",5+ years,"Figma, Adobe XD, UX Research",https://careers.google.com/backend-developer-returnship
Frontend Developer Returnship,IBM,Design,"San Francisco, USA",5+ years,"AWS, Docker, Kubernetes",https://careers.tesla.com/frontend-developer-returnship
Data Analyst Returnship,Airbnb,Product Management,"Austin, USA",2+ years,"CI/CD, Kubernetes, Jenkins",https://careers.google.com/ai/ml-engineer-returnship
AI/ML Engineer Returnship,Netflix,DevOps,"San Diego, USA",5+ years,"CI/CD, Kubernetes, Jenkins",https://careers.meta.com/cloud-engineer-returnship
Backend Developer Returnship,IBM,Cybersecurity,"New York, USA",1+ years,"Java, Spring Boot, PostgreSQL",https://careers.salesforce.com/data-analyst-returnship
Cloud Engineer Returnship,IBM,DevOps,"Chicago, USA",1+ years,"SQL, Excel, Tableau",https://careers.salesforce.com/cybersecurity-analyst-returnship
Product Manager Returnship,Airbnb,AI/ML,"Seattle, USA",5+ years,"Figma, Adobe XD, UX Research",https://careers.airbnb.com/backend-developer-returnship
Software Engineer Returnship,Meta,DevOps,Remote,5+ years,"React, HTML, CSS, JavaScript",https://careers.amazon.com/product-manager-returnship
AI/ML Engineer Returnship,Amazon,Design,"Boston, USA",2+ years,"Product Strategy, Agile, UX Research",https://careers.microsoft.com/cloud-engineer-returnship
DevOps Engineer Returnship,Microsoft,Tech,"Boston, USA",2+ years,"Java, Spring Boot, PostgreSQL",https://careers.uber.com/backend-developer-returnship
Cloud Engineer Returnship,Google,Cybersecurity,"Los Angeles, USA",2+ years,"SQL, Excel, Tableau",https://careers.ibm.com/ux-designer-returnship
DevOps Engineer Returnship,Meta,AI/ML,"Seattle, USA",1+ years,"AWS, Docker, Kubernetes",https://careers.microsoft.com/product-manager-returnship
Data Analyst Returnship,Salesforce,Product Management,"San Diego, USA",5+ years,"AWS, Docker, Kubernetes",https://careers.meta.com/data-analyst-returnship
AI/ML Engineer Returnship,Google,Design,Remote,3+ years,"CI/CD, Kubernetes, Jenkins",https://careers.google.com/data-analyst-returnship
DevOps Engineer Returnship,Airbnb,DevOps,"New York, USA",5+ years,"Java, Spring Boot, PostgreSQL",https://careers.microsoft.com/ux-designer-returnship
UX Designer Returnship,Netflix,Product Management,"Los Angeles, USA",5+ years,"CI/CD, Kubernetes, Jenkins",https://careers.meta.com/product-manager-returnship
Cybersecurity Analyst Returnship,Amazon,Cybersecurity,"Austin, USA",2+ years,"React, HTML, CSS, JavaScript",https://careers.google.com/product-manager-returnship
Cloud Engineer Returnship,Microsoft,Design,"Boston, USA",3+ years,"AWS, Docker, Kubernetes",https://careers.amazon.com/software-engineer-returnship
Frontend Developer Returnship,Meta,Product Management,"Toronto, Canada",5+ years,"CI/CD, Kubernetes, Jenkins",https://careers.google.com/backend-developer-returnship
Cloud Engineer Returnship,Netflix,Product Management,"Boston, USA",3+ years,"Figma, Adobe XD, UX Research",https://careers.meta.com/cloud-engineer-returnship
DevOps Engineer Returnship,Tesla,Software Development,"Toronto, Canada",3+ years,"Product Strategy, Agile, UX Research",https://careers.netflix.com/backend-developer-returnship
DevOps Engineer Returnship,Amazon,Design,"Austin, USA",5+ years,"React, HTML, CSS, JavaScript",https://careers.airbnb.com/software-engineer-returnship
Software Engineer Returnship,IBM,AI/ML,Remote,2+ years,"React, HTML, CSS, JavaScript",https://careers.uber.com/product-manager-returnship
UX Designer Returnship,Amazon,AI/ML,"Los Angeles, USA",2+ years,"CI/CD, Kubernetes, Jenkins",https://careers.salesforce.com/backend-developer-returnship
Frontend Developer Returnship,Uber,Software Development,"Toronto, Canada",5+ years,"React, HTML, CSS, JavaScript",https://careers.tesla.com/data-analyst-returnship
Product Manager Returnship,Netflix,Software Development,Remote,3+ years,"React, HTML, CSS, JavaScript",https://careers.uber.com/cybersecurity-analyst-returnship
Software Engineer Returnship,Uber,AI/ML,"Austin, USA",3+ years,"Java, Spring Boot, PostgreSQL",https://careers.google.com/backend-developer-returnship
Data Analyst Returnship,Uber,Software Development,"San Diego, USA",2+ years,"Java, Spring Boot, PostgreSQL",https://careers.salesforce.com/data-analyst-returnship
Frontend Developer Returnship,Meta,Software Development,"Austin, USA",2+ years,"React, HTML, CSS, JavaScript",https://careers.airbnb.com/devops-engineer-returnship
AI/ML Engineer Returnship,Amazon,AI/ML,"San Francisco, USA",2+ years,"Figma, Adobe XD, UX Research",https://careers.netflix.com/frontend-developer-returnship
Cybersecurity Analyst Returnship,Meta,Design,"New York, USA",3+ years,"Network Security, SIEM, Python",https://careers.meta.com/backend-developer-returnship
Software Engineer Returnship,Salesforce,Product Management,"Chicago, USA",3+ years,"Figma, Adobe XD, UX Research",https://careers.google.com/data-analyst-returnship
Cybersecurity Analyst Returnship,Meta,Design,"New York, USA",2+ years,"CI/CD, Kubernetes, Jenkins",https://careers.netflix.com/devops-engineer-returnship
UX Designer Returnship,Netflix,Product Management,"Austin, USA",2+ years,"Network Security, SIEM, Python",https://careers.netflix.com/data-analyst-returnship
Data Analyst Returnship,Microsoft,Software Development,"San Diego, USA",3+ years,"Java, Spring Boot, PostgreSQL",https://careers.salesforce.com/ai/ml-engineer-returnship
Data Analyst Returnship,Salesforce,Software Development,"Los Angeles, USA",1+ years,"CI/CD, Kubernetes, Jenkins",https://careers.ibm.com/cloud-engineer-returnship
Product Manager Returnship,Microsoft,Cloud Computing,"New York, USA",3+ years,"TensorFlow, PyTorch, Deep Learning",https://careers.uber.com/software-engineer-returnship
Data Analyst Returnship,Amazon,DevOps,"Los Angeles, USA",5+ years,"React, HTML, CSS, JavaScript",https://careers.tesla.com/cybersecurity-analyst-returnship
DevOps Engineer Returnship,IBM,DevOps,"New York, USA",5+ years,"Product Strategy, Agile, UX Research",https://careers.meta.com/backend-developer-returnship
Cloud Engineer Returnship,Tesla,Product Management,"Chicago, USA",3+ years,"Product Strategy, Agile, UX Research",https://careers.microsoft.com/frontend-developer-returnship
Cloud Engineer Returnship,Uber,Cybersecurity,"Boston, USA",5+ years,"Java, Spring Boot, PostgreSQL",https://careers.salesforce.com/data-analyst-returnship
Product Manager Returnship,Netflix,Software Development,"Seattle, USA",1+ years,"Python, Java, C++",https://careers.salesforce.com/cybersecurity-analyst-returnship
DevOps Engineer Returnship,Microsoft,Tech,"Austin, USA",1+ years,"Python, Java, C++",https://careers.amazon.com/software-engineer-returnship
Cloud Engineer Returnship,Tesla,Software Development,"San Diego, USA",1+ years,"TensorFlow, PyTorch, Deep Learning",https://careers.ibm.com/software-engineer-returnship
AI/ML Engineer Returnship,Google,Cloud Computing,"Austin, USA",5+ years,"Figma, Adobe XD, UX Research",https://careers.airbnb.com/cybersecurity-analyst-returnship
DevOps Engineer Returnship,Meta,Product Management,"Chicago, USA",2+ years,"Python, Java, C++",https://careers.salesforce.com/backend-developer-returnship
UX Designer Returnship,Uber,Design,Remote,1+ years,"CI/CD, Kubernetes, Jenkins",https://careers.microsoft.com/devops-engineer-returnship
Backend Developer Returnship,Microsoft,Software Development,"New York, USA",1+ years,"AWS, Docker, Kubernetes",https://careers.meta.com/product-manager-returnship
Cybersecurity Analyst Returnship,Salesforce,Design,"San Francisco, USA",2+ years,"TensorFlow, PyTorch, Deep Learning",https://careers.uber.com/product-manager-returnship
DevOps Engineer Returnship,Netflix,AI/ML,"Boston, USA",3+ years,"Python, Java, C++",https://careers.google.com/software-engineer-returnship
Cybersecurity Analyst Returnship,Meta,AI/ML,"Seattle, USA",2+ years,"TensorFlow, PyTorch, Deep Learning",https://careers.netflix.com/software-engineer-returnship
AI/ML Engineer Returnship,Airbnb,Software Development,"New York, USA",3+ years,"Network Security, SIEM, Python",https://careers.netflix.com/software-engineer-returnship
Backend Developer Returnship,Tesla,Software Development,"Austin, USA",3+ years,"Network Security, SIEM, Python",https://careers.tesla.com/data-analyst-returnship
Frontend Developer Returnship,Netflix,Cybersecurity,"San Diego, USA",2+ years,"React, HTML, CSS, JavaScript",https://careers.ibm.com/devops-engineer-returnship
Product Manager Returnship,Microsoft,Cloud Computing,"Chicago, USA",1+ years,"Python, Java, C++",https://careers.salesforce.com/devops-engineer-returnship
DevOps Engineer Returnship,IBM,AI/ML,"Los Angeles, USA",3+ years,"TensorFlow, PyTorch, Deep Learning",https://careers.amazon.com/ux-designer-returnship
